*** fixed stars ***
*name        long.   lat.    mag
Regulus      149.967 0.00    1.35
Spica        203.670 -2.03   0.98
Sirius       101.287 -16.72 -1.46
Aldebaran     69.545  5.48   0.85
Antares      250.425 -4.57   1.06
Vega         279.234 61.75   0.03
Arcturus     213.915 19.18  -0.05
Fomalhaut    344.412 -29.62  1.16
Pollux       113.650 22.85   1.14
Castor       113.283 31.89   1.58
Betelgeuse    88.792  7.41   0.42
Alphard      217.961 -8.96   2.00
Deneb        310.358 45.28   1.25
Algol         48.628 40.95   2.12
Alcyone       57.500 24.12   2.85
Dubhe        165.932 61.75   1.79
Acubens      133.847 11.85   4.26
Altair       297.695  8.87   0.77
Hamal         33.997  9.47   2.01
Rasalhague   252.538 12.56   2.08
